,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,WK,OPP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS
75,76,Nick Bosa,SF,DL,1,SEA,0,0,0,0,0,0,0,0,1,0,1,1,18.4
76,77,Harold Landry III,NE,LB,1,LV,0,0,0,0,0,0,0,0,3,0,0,0,18.4
77,78,Kyler Murray,ARI,QB,1,NO,163,2,0,38,0,0,0,0,0,0,0,0,18.3
78,79,Jaxon Smith-Njigba,SEA,WR,2,PIT,0,0,0,0,0,8,103,0,0,0,0,0,18.3
79,80,Marvin Harrison Jr.,ARI,WR,1,NO,0,0,0,0,0,5,71,1,0,0,0,0,18.1
80,81,Bucky Irving,TB,RB,2,HOU,0,0,0,71,0,6,50,0,0,0,0,0,18.1
81,82,Courtland Sutton,DEN,WR,1,TEN,0,0,0,0,0,6,61,1,0,0,0,0,18.1
82,83,CeeDee Lamb,DAL,WR,1,PHI,0,0,0,0,0,7,110,0,0,0,0,0,18.0
83,84,Parker Romo,ATL,K,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0,18.0
84,85,Chuba Hubbard,CAR,RB,1,JAX,0,0,0,57,0,3,32,1,0,0,0,0,17.9
85,86,George Pickens,DAL,WR,2,NYG,0,0,0,0,0,5,68,1,0,0,0,0,17.8
86,87,Jaylen Waddle,MIA,WR,2,NE,0,0,0,0,0,5,68,1,0,0,0,0,17.8
87,88,Jake Browning,CIN,QB,2,JAX,241,2,3,1,1,0,0,0,0,0,0,0,17.7
88,89,Jakobi Meyers,LV,WR,1,NE,0,0,0,0,0,8,97,0,0,0,0,0,17.7
89,90,Dyami Brown,JAX,WR,2,CIN,0,0,0,9,0,5,57,1,0,0,0,0,17.6
90,91,Ed Oliver,BUF,DT,1,BAL,0,0,0,0,0,0,0,0,1,0,1,0,17.5
91,92,Geno Smith,LV,QB,1,NE,362,1,1,10,0,0,0,0,0,0,0,0,17.5
92,93,Deebo Samuel Sr.,WAS,WR,2,GB,0,0,0,0,0,7,44,1,0,0,0,0,17.4
93,94,Jaylen Warren,PIT,RB,2,SEA,0,0,0,48,0,4,86,0,0,0,0,0,17.4
94,95,Saquon Barkley,PHI,RB,2,KC,0,0,0,88,1,2,6,0,0,0,0,0,17.4
95,96,Matthew Stafford,LAR,QB,2,TEN,298,2,1,-6,0,0,0,0,0,0,0,0,17.3
96,97,Dylan Sampson,CLE,RB,1,CIN,0,0,0,29,0,8,64,0,0,0,0,0,17.3
97,98,Byron Young,LAR,OLB,2,TEN,0,0,0,0,0,0,0,0,2,0,1,0,17.3
98,99,Keenan Allen,LAC,WR,2,LV,0,0,0,0,0,5,61,1,0,0,0,0,17.1
99,100,Myles Garrett,CLE,DE,1,CIN,0,0,0,0,0,0,0,0,2,0,0,0,17.1
